"","date_month","count_spotify_korean","count_netflix_korean"
"1","2017-02",36,6
"2","2017-03",4,4
"3","2017-04",19,6
"4","2017-05",0,7
"5","2017-06",0,8
"6","2017-07",6,1
"7","2017-08",0,4
"8","2017-09",51,1
"9","2017-10",26,2
"10","2017-11",11,2
"11","2017-12",51,2
"12","2018-01",33,5
"13","2018-02",6,9
"14","2018-03",18,2
"15","2018-04",0,2
"16","2018-05",84,3
"17","2018-07",0,1
"18","2018-08",27,2
"19","2018-09",10,3
"20","2018-10",13,2
"21","2018-11",56,1
"22","2018-12",39,3
"23","2019-01",8,2
"24","2019-02",0,3
"25","2019-03",0,3
"26","2019-04",132,5
"27","2019-05",85,4
"28","2019-06",40,1
"29","2019-07",27,6
"30","2019-08",0,8
"31","2019-09",3,3
"32","2019-10",27,12
"33","2019-11",18,7
"34","2019-12",1,5
"35","2020-01",31,8
"36","2020-02",133,4
"37","2020-03",16,2
"38","2020-04",18,4
"39","2020-05",3,5
"40","2020-06",25,8
"41","2020-07",53,3
"42","2020-08",28,2
"43","2020-09",103,3
"44","2020-10",148,5
"45","2020-11",94,6
"46","2020-12",56,6
"47","2021-01",62,4
"48","2021-02",52,4
"49","2021-03",37,4
"50","2021-04",46,4
"51","2021-05",31,2
"52","2021-06",71,3
"53","2021-07",86,4
"54","2021-08",69,2
"55","2021-09",36,2
