"","title","artist","date_month","count"
"1","00:00 (Zero O’Clock)","BTS","2020-02",7
"2","1, 2, 3!","SEUNGRI","2018-08",1
"3","134340","BTS","2018-05",6
"4","A Brand New Day (BTS World Original Soundtrack) [Pt. 2]","BTS, Zara Larsson","2019-06",1
"5","Airplane pt.2","BTS","2018-05",8
"6","Alcohol-Free","TWICE","2021-06",1
"7","All Night (BTS World Original Soundtrack) [Pt. 3]","BTS, Juice WRLD","2019-06",2
"8","Anpanman","BTS","2018-05",7
"9","Answer : Love Myself","BTS","2018-08",1
"10","Any song","ZICO","2020-02",20
"11","Any song","ZICO","2020-03",1
"12","BBIBBI","IU","2018-11",8
"13","BIRTHDAY","SOMI","2019-07",14
"14","Bad Boy","Red Velvet","2018-02",6
"15","Base Line","j-hope","2018-03",3
"16","Best Of Me","BTS","2017-09",9
"17","Bet You Wanna (feat. Cardi B)","BLACKPINK","2020-10",19
"18","Black Swan","BTS","2020-01",15
"19","Black Swan","BTS","2020-02",14
"20","Black Swan","BTS","2020-03",1
"21","Blue & Grey","BTS","2020-11",7
"22","Bon Bon Chocolat","EVERGLOW","2019-04",22
"23","Bon Bon Chocolat","EVERGLOW","2019-05",3
"24","Boy With Luv (feat. Halsey)","BTS","2019-04",19
"25","Boy With Luv (feat. Halsey)","BTS","2019-05",45
"26","Boy With Luv (feat. Halsey)","BTS","2019-06",30
"27","Boy With Luv (feat. Halsey)","BTS","2019-07",13
"28","Boy With Luv (feat. Halsey)","BTS","2020-02",7
"29","Boy With Luv (feat. Halsey)","BTS","2020-08",1
"30","Butter","BTS","2021-05",11
"31","Butter","BTS","2021-06",38
"32","Butter","BTS","2021-07",31
"33","Butter","BTS","2021-08",31
"34","Butter","BTS","2021-09",18
"35","Butter (Instrumental)","BTS","2021-05",1
"36","Butter (feat. Megan Thee Stallion)","BTS","2021-08",5
"37","Butter (feat. Megan Thee Stallion)","BTS","2021-09",2
"38","Can't Love You Anymore (With OHHYUK)","IU","2017-04",4
"39","Candy","BAEKHYUN","2020-06",14
"40","Chicken Noodle Soup (feat. Becky G)","j-hope","2019-09",1
"41","Chicken Noodle Soup (feat. Becky G)","j-hope","2019-10",6
"42","Come Back Home","BTS","2017-07",6
"43","Crazy Over You","BLACKPINK","2020-10",5
"44","DDU-DU DDU-DU","BLACKPINK","2018-06",12
"45","DNA","BTS","2017-09",19
"46","DNA","BTS","2017-10",26
"47","DNA","BTS","2018-01",1
"48","DUMB DUMB","SOMI","2021-08",1
"49","Daydream (백일몽)","j-hope","2018-03",7
"50","Dionysus","BTS","2019-04",11
"51","Dis-ease","BTS","2020-11",7
"52","Don't Call Me","SHINee","2021-03",1
"53","Dream Glow (BTS World Original Soundtrack) - Pt. 1","BTS, Charli XCX","2019-06",7
"54","Dynamite","BTS","2020-08",11
"55","Dynamite","BTS","2020-09",47
"56","Dynamite","BTS","2020-10",38
"57","Dynamite","BTS","2020-11",30
"58","Dynamite","BTS","2020-12",30
"59","Dynamite","BTS","2021-01",31
"60","Dynamite","BTS","2021-02",28
"61","Dynamite","BTS","2021-03",31
"62","Dynamite","BTS","2021-04",30
"63","Dynamite","BTS","2021-05",16
"64","Dynamite","BTS","2021-06",30
"65","Dynamite","BTS","2021-07",28
"66","Dynamite","BTS","2021-08",4
"67","Dynamite - Instrumental","BTS","2020-08",1
"68","Euphoria","BTS","2018-08",3
"69","FAKE LOVE","BTS","2018-05",25
"70","FAKE LOVE","BTS","2018-06",31
"71","FANCY","TWICE","2019-05",2
"72","FXXK IT","BIGBANG","2017-01",2
"73","Feel Special","TWICE","2019-09",2
"74","Feel Special","TWICE","2019-10",7
"75","Film out","BTS","2021-04",2
"76","Filter","BTS","2020-02",8
"77","Fly To My Room","BTS","2020-11",7
"78","Friends","BTS","2020-02",6
"79","Go Go","BTS","2017-09",7
"80","God’s Menu","Stray Kids","2020-07",10
"81","HOME","BTS","2019-04",12
"82","Hello","JOY","2021-06",2
"83","Hello","JOY","2021-07",4
"84","Hope World","j-hope","2018-03",3
"85","How You Like That","BLACKPINK","2020-06",5
"86","How You Like That","BLACKPINK","2020-07",38
"87","How You Like That","BLACKPINK","2020-08",10
"88","How You Like That","BLACKPINK","2020-09",2
"89","How You Like That","BLACKPINK","2020-10",16
"90","I CAN'T STOP ME","TWICE","2020-10",2
"91","I CAN'T STOP ME","TWICE","2020-11",7
"92","I'm Fine","BTS","2018-08",2
"93","IDOL","BTS","2018-08",7
"94","IDOL","BTS, Nicki Minaj","2018-08",8
"95","IDOL","BTS, Nicki Minaj","2018-09",10
"96","Ice Cream (with Selena Gomez)","BLACKPINK","2020-08",4
"97","Ice Cream (with Selena Gomez)","BLACKPINK","2020-09",37
"98","Ice Cream (with Selena Gomez)","BLACKPINK","2020-10",30
"99","Ice Cream (with Selena Gomez)","BLACKPINK","2020-11",4
"100","In the morning","ITZY","2021-05",2
"101","Inner Child","BTS","2020-02",5
"102","Interlude : Shadow","BTS","2020-02",4
"103","Intro : Persona","BTS","2019-04",7
"104","Intro : Persona","BTS","2020-02",1
"105","Intro: Serendipity","BTS","2017-09",4
"106","Intro: Singularity","BTS","2018-05",6
"107","Jamais Vu","BTS","2019-04",8
"108","Kill This Love","BLACKPINK","2019-04",29
"109","Kill This Love","BLACKPINK","2019-05",35
"110","Kiss and Make Up","Dua Lipa, BLACKPINK","2018-10",13
"111","Kiss and Make Up","Dua Lipa, BLACKPINK","2018-11",36
"112","Kiss and Make Up","Dua Lipa, BLACKPINK","2019-01",2
"113","LA DI DA","EVERGLOW","2020-10",4
"114","LALISA","LISA","2021-09",9
"115","LALISA","LISA","2021-10",7
"116","LOCO","ITZY","2021-10",2
"117","La Vie en Rose","IZ*ONE","2018-11",5
"118","La Vie en Rose","IZ*ONE","2018-12",7
"119","Life Goes On","BTS","2020-11",11
"120","Life Goes On","BTS","2020-12",10
"121","Life Goes On","BTS","2021-05",1
"122","Losing You","WONHO","2020-09",17
"123","Louder than bombs","BTS","2020-02",7
"124","Love Maze","BTS","2018-05",6
"125","Love To Hate Me","BLACKPINK","2020-10",5
"126","Lovesick Girls","BLACKPINK","2020-10",18
"127","MAGO","GFRIEND","2020-11",1
"128","MAGO","GFRIEND","2020-12",5
"129","MIC Drop","BTS","2017-09",3
"130","MIC Drop (feat. Desiigner) [Steve Aoki Remix]","BTS","2017-11",11
"131","MIC Drop (feat. Desiigner) [Steve Aoki Remix]","BTS","2017-12",51
"132","MIC Drop (feat. Desiigner) [Steve Aoki Remix]","BTS","2018-01",32
"133","MONEY","LISA","2021-10",59
"134","MONEY","LISA","2021-11",44
"135","MONEY","LISA","2021-12",7
"136","MORE & MORE","TWICE","2020-06",4
"137","Magic Shop","BTS","2018-05",6
"138","Make It Right","BTS","2019-04",12
"139","Make It Right (feat. Lauv)","BTS","2019-10",14
"140","Make It Right (feat. Lauv)","BTS","2019-11",18
"141","Mikrokosmos","BTS","2019-04",12
"142","Mmmh","KAI","2020-12",11
"143","Mmmh","KAI","2021-01",31
"144","Mmmh","KAI","2021-02",24
"145","Moon","BTS","2020-02",5
"146","My Time","BTS","2020-02",8
"147","My Universe","Coldplay, BTS","2021-09",7
"148","My Universe","Coldplay, BTS","2021-10",40
"149","My Universe","Coldplay, BTS","2021-11",30
"150","My Universe","Coldplay, BTS","2021-12",26
"151","Not Today","BTS","2017-02",13
"152","ON","BTS","2020-02",9
"153","ON","BTS","2020-03",7
"154","ON","BTS","2020-08",1
"155","ON (Feat. Sia)","BTS","2020-02",9
"156","ON (Feat. Sia)","BTS","2020-03",5
"157","Outro : Ego","BTS","2020-02",5
"158","Outro: Her","BTS","2017-09",1
"159","Outro: Tear","BTS","2018-05",3
"160","P.O.P (Piece Of Peace) Pt. 1","j-hope","2018-03",1
"161","Paradise","BTS","2018-05",6
"162","Permission to Dance","BTS","2021-07",23
"163","Permission to Dance","BTS","2021-08",28
"164","Pied Piper","BTS","2017-09",4
"165","Plz Don't Be Sad","Highlight","2017-04",7
"166","Pretty Savage","BLACKPINK","2020-10",7
"167","Psycho","Red Velvet","2020-01",14
"168","Respect","BTS","2020-02",4
"169","Rollin'","Brave Girls","2021-03",5
"170","Rollin'","Brave Girls","2021-04",14
"171","SOLO","JENNIE","2018-11",2
"172","SOLO","JENNIE","2018-12",29
"173","SOLO","JENNIE","2019-01",6
"174","SUGA's Interlude","Halsey, SUGA, BTS","2019-12",1
"175","SUGA's Interlude","Halsey, SUGA, BTS","2020-01",2
"176","Serendipity (Full Length Edition)","BTS","2018-08",1
"177","Skit","BTS","2020-11",1
"178","So What","BTS","2018-05",4
"179","So Young (feat. J-Clark)","SWAN","2017-02",11
"180","Spring Day","BTS","2017-02",12
"181","Stay","BTS","2020-11",5
"182","Stay Gold","BTS","2020-06",2
"183","Stay Gold","BTS","2020-07",5
"184","Superwoman","MINZY","2017-04",1
"185","Sweet Night","V","2020-04",15
"186","Take Me","Miso","2017-01",7
"187","Telepathy","BTS","2020-11",7
"188","The Feels","TWICE","2021-10",8
"189","The Feels","TWICE","2021-11",31
"190","The Feels","TWICE","2021-12",5
"191","The Truth Untold","BTS, Steve Aoki","2018-05",7
"192","Trivia 承 : Love","BTS","2018-08",1
"193","Trivia 起 : Just Dance","BTS","2018-08",2
"194","Trivia 轉 : Seesaw","BTS","2018-08",1
"195","UGH!","BTS","2020-02",8
"196","WANNABE","ITZY","2020-03",2
"197","WANNABE","ITZY","2020-04",3
"198","WEE WOO","PRISTIN","2017-03",4
"199","WEE WOO","PRISTIN","2017-04",2
"200","We are Bulletproof : the Eternal","BTS","2020-02",6
"201","Why Not?","LOONA","2020-11",7
"202","YES or YES","TWICE","2018-11",5
"203","YES or YES","TWICE","2018-12",3
"204","You Never Know","BLACKPINK","2020-10",4
"205","Your Days","JOY","2017-04",5
"206","dimple","BTS","2017-09",4
"207","eight(Prod.&Feat. SUGA of BTS)","IU","2020-05",3
"208","항상 (HANGSANG)","j-hope, Supreme Boi","2018-03",4
