,title,artist,korean_artist,member_of,youtube_url,youtube_embed,chart_color,date_month,count
34,Candy,BAEKHYUN,BAEKHYUN,BLACKPINK,https://youtu.be/gmgcRWxhmqY,https://www.youtube-nocookie.com/embed/gmgcRWxhmqY,black,2020-06,14
17,Kiss and Make Up,"Dua Lipa, BLACKPINK",BLACKPINK,BLACKPINK,https://youtu.be/AX3Bsiq-13k,https://www.youtube-nocookie.com/embed/AX3Bsiq-13k,#9B59B6,2018-10,13
18,Kiss and Make Up,"Dua Lipa, BLACKPINK",BLACKPINK,BLACKPINK,https://youtu.be/AX3Bsiq-13k,https://www.youtube-nocookie.com/embed/AX3Bsiq-13k,#9B59B6,2018-11,36
21,Kill This Love,BLACKPINK,BLACKPINK,BLACKPINK,https://youtu.be/2S24-y0Ij3Y,https://www.youtube-nocookie.com/embed/2S24-y0Ij3Y,#9B59B6,2019-04,29
35,How You Like That,BLACKPINK,BLACKPINK,BLACKPINK,https://youtu.be/ioNng23DkIM,https://www.youtube-nocookie.com/embed/ioNng23DkIM,#9B59B6,2020-07,38
2,Not Today,BTS,BTS,BTS,https://youtu.be/9DwzBICPhdM,https://www.youtube-nocookie.com/embed/9DwzBICPhdM,#FF5733,2017-02,13
6,DNA,BTS,BTS,BTS,https://youtu.be/MBdVXkSdhwU,https://www.youtube-nocookie.com/embed/MBdVXkSdhwU,#FF5733,2017-09,19
7,DNA,BTS,BTS,BTS,https://youtu.be/MBdVXkSdhwU,https://www.youtube-nocookie.com/embed/MBdVXkSdhwU,#FF5733,2017-10,26
8,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,BTS,BTS,https://youtu.be/kTlv5_Bs8aw,https://www.youtube-nocookie.com/embed/kTlv5_Bs8aw,#FF5733,2017-11,11
9,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,BTS,BTS,https://youtu.be/kTlv5_Bs8aw,https://www.youtube-nocookie.com/embed/kTlv5_Bs8aw,#FF5733,2017-12,51
10,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,BTS,BTS,https://youtu.be/kTlv5_Bs8aw,https://www.youtube-nocookie.com/embed/kTlv5_Bs8aw,#FF5733,2018-01,32
13,FAKE LOVE,BTS,BTS,BTS,https://youtu.be/7C2z4GqqS5E,https://www.youtube-nocookie.com/embed/7C2z4GqqS5E,#FF5733,2018-05,25
14,FAKE LOVE,BTS,BTS,BTS,https://youtu.be/7C2z4GqqS5E,https://www.youtube-nocookie.com/embed/7C2z4GqqS5E,#FF5733,2018-06,31
16,IDOL,"BTS, Nicki Minaj",BTS,BTS,https://youtu.be/K1scjjbfNsk,https://www.youtube-nocookie.com/embed/K1scjjbfNsk,#FF5733,2018-09,10
22,Boy With Luv (feat. Halsey),BTS,BTS,BTS,https://youtu.be/XsX3ATc3FbA,https://www.youtube-nocookie.com/embed/XsX3ATc3FbA,#FF5733,2019-05,45
23,Boy With Luv (feat. Halsey),BTS,BTS,BTS,https://youtu.be/XsX3ATc3FbA,https://www.youtube-nocookie.com/embed/XsX3ATc3FbA,#FF5733,2019-06,30
26,Make It Right (feat. Lauv),BTS,BTS,BTS,https://youtu.be/eXBu09fwe3I,https://www.youtube-nocookie.com/embed/eXBu09fwe3I,#FF5733,2019-10,14
27,Make It Right (feat. Lauv),BTS,BTS,BTS,https://youtu.be/eXBu09fwe3I,https://www.youtube-nocookie.com/embed/eXBu09fwe3I,#FF5733,2019-11,18
29,Black Swan,BTS,BTS,BTS,https://youtu.be/0lapF4DQPKQ,https://www.youtube-nocookie.com/embed/0lapF4DQPKQ,#FF5733,2020-01,15
36,Dynamite,BTS,BTS,BTS,https://youtu.be/gdZLi9oWNZg,https://www.youtube-nocookie.com/embed/gdZLi9oWNZg,#FF5733,2020-08,11
37,Dynamite,BTS,BTS,BTS,https://youtu.be/gdZLi9oWNZg,https://www.youtube-nocookie.com/embed/gdZLi9oWNZg,#FF5733,2020-09,47
38,Dynamite,BTS,BTS,BTS,https://youtu.be/gdZLi9oWNZg,https://www.youtube-nocookie.com/embed/gdZLi9oWNZg,#FF5733,2020-10,38
39,Dynamite,BTS,BTS,BTS,https://youtu.be/gdZLi9oWNZg,https://www.youtube-nocookie.com/embed/gdZLi9oWNZg,#FF5733,2020-11,30
40,Dynamite,BTS,BTS,BTS,https://youtu.be/gdZLi9oWNZg,https://www.youtube-nocookie.com/embed/gdZLi9oWNZg,#FF5733,2020-12,30
41,Dynamite,BTS,BTS,BTS,https://youtu.be/gdZLi9oWNZg,https://www.youtube-nocookie.com/embed/gdZLi9oWNZg,#FF5733,2021-01,31
42,Dynamite,BTS,BTS,BTS,https://youtu.be/gdZLi9oWNZg,https://www.youtube-nocookie.com/embed/gdZLi9oWNZg,#FF5733,2021-02,28
43,Dynamite,BTS,BTS,BTS,https://youtu.be/gdZLi9oWNZg,https://www.youtube-nocookie.com/embed/gdZLi9oWNZg,#FF5733,2021-03,31
44,Dynamite,BTS,BTS,BTS,https://youtu.be/gdZLi9oWNZg,https://www.youtube-nocookie.com/embed/gdZLi9oWNZg,#FF5733,2021-04,30
45,Dynamite,BTS,BTS,BTS,https://youtu.be/gdZLi9oWNZg,https://www.youtube-nocookie.com/embed/gdZLi9oWNZg,#FF5733,2021-05,16
46,Butter,BTS,BTS,BTS,https://youtu.be/WMweEpGlu_U,https://www.youtube-nocookie.com/embed/WMweEpGlu_U,#FF5733,2021-06,38
47,Butter,BTS,BTS,BTS,https://youtu.be/WMweEpGlu_U,https://www.youtube-nocookie.com/embed/WMweEpGlu_U,#FF5733,2021-07,31
48,Butter,BTS,BTS,BTS,https://youtu.be/WMweEpGlu_U,https://www.youtube-nocookie.com/embed/WMweEpGlu_U,#FF5733,2021-08,31
49,Butter,BTS,BTS,BTS,https://youtu.be/WMweEpGlu_U,https://www.youtube-nocookie.com/embed/WMweEpGlu_U,#FF5733,2021-09,18
52,My Universe,"Coldplay, BTS",BTS,BTS,https://youtu.be/3YqPKLZF_WU,https://www.youtube-nocookie.com/embed/3YqPKLZF_WU,#FF5733,2021-12,26
19,SOLO,JENNIE,JENNIE,BLACKPINK,https://youtu.be/b73BI9eUkjM,https://www.youtube-nocookie.com/embed/b73BI9eUkjM,#52BE80,2018-12,29
50,MONEY,LISA,LISA,BLACKPINK,https://youtu.be/dNCWe_6HAM8,https://www.youtube-nocookie.com/embed/dNCWe_6HAM8,#5499C7,2021-10,59
51,MONEY,LISA,LISA,BLACKPINK,https://youtu.be/dNCWe_6HAM8,https://www.youtube-nocookie.com/embed/dNCWe_6HAM8,#5499C7,2021-11,44
24,BIRTHDAY,SOMI,SOMI,none,https://youtu.be/oDJ4ct59NC4,https://www.youtube-nocookie.com/embed/oDJ4ct59NC4,blue,2019-07,14
32,Sweet Night,V,V,BTS,https://youtu.be/Wq-ezXSLPOU,https://www.youtube-nocookie.com/embed/Wq-ezXSLPOU,gold,2020-04,15
30,Any song,ZICO,ZICO,none,https://youtu.be/UuV2BmJ1p_I,https://www.youtube-nocookie.com/embed/UuV2BmJ1p_I,green,2020-02,20
