"title","artist","times_on_chart"
"00:00 (Zero O’Clock)","BTS",7
"1, 2, 3!","SEUNGRI",1
"134340","BTS",6
"A Brand New Day (BTS World Original Soundtrack) [Pt. 2]","BTS",1
"Airplane pt.2","BTS",8
"Alcohol-Free","TWICE",1
"All Night (BTS World Original Soundtrack) [Pt. 3]","BTS",2
"Anpanman","BTS",7
"Answer : Love Myself","BTS",1
"Any song","ZICO",21
"BBIBBI","IU",8
"BIRTHDAY","SOMI",14
"Bad Boy","Red Velvet",6
"Base Line","j-hope",3
"Best Of Me","BTS",9
"Bet You Wanna (feat. Cardi B)","BLACKPINK",19
"Black Swan","BTS",30
"Blue & Grey","BTS",7
"Bon Bon Chocolat","EVERGLOW",25
"Boy With Luv (feat. Halsey)","BTS",115
"Butter","BTS",129
"Butter (Instrumental)","BTS",1
"Butter (feat. Megan Thee Stallion)","BTS",7
"Can't Love You Anymore (With OHHYUK)","IU",4
"Candy","BAEKHYUN",14
"Chicken Noodle Soup (feat. Becky G)","j-hope",7
"Come Back Home","BTS",6
"Crazy Over You","BLACKPINK",5
"DDU-DU DDU-DU","BLACKPINK",12
"DNA","BTS",46
"DUMB DUMB","SOMI",1
"Daydream (백일몽)","j-hope",7
"Dionysus","BTS",11
"Dis-ease","BTS",7
"Don't Call Me","SHINee",1
"Dream Glow (BTS World Original Soundtrack) - Pt. 1","BTS",7
"Dynamite","BTS",354
"Dynamite - Instrumental","BTS",1
"Euphoria","BTS",3
"FAKE LOVE","BTS",56
"FANCY","TWICE",2
"FXXK IT","BIGBANG",2
"Feel Special","TWICE",9
"Film out","BTS",2
"Filter","BTS",8
"Fly To My Room","BTS",7
"Friends","BTS",6
"Go Go","BTS",7
"God’s Menu","Stray Kids",10
"HOME","BTS",12
"Hello","JOY",6
"Hope World","j-hope",3
"How You Like That","BLACKPINK",71
"I CAN'T STOP ME","TWICE",9
"I'm Fine","BTS",2
"IDOL","BTS",25
"Ice Cream (with Selena Gomez)","BLACKPINK",75
"In the morning","ITZY",2
"Inner Child","BTS",5
"Interlude : Shadow","BTS",4
"Intro : Persona","BTS",8
"Intro: Serendipity","BTS",4
"Intro: Singularity","BTS",6
"Jamais Vu","BTS",8
"Kill This Love","BLACKPINK",64
"Kiss and Make Up","BLACKPINK",51
"LA DI DA","EVERGLOW",4
"LALISA","LISA",16
"LOCO","ITZY",2
"La Vie en Rose","IZ*ONE",12
"Life Goes On","BTS",22
"Losing You","WONHO",17
"Louder than bombs","BTS",7
"Love Maze","BTS",6
"Love To Hate Me","BLACKPINK",5
"Lovesick Girls","BLACKPINK",18
"MAGO","GFRIEND",6
"MIC Drop","BTS",3
"MIC Drop (feat. Desiigner) [Steve Aoki Remix]","BTS",94
"MONEY","LISA",110
"MORE & MORE","TWICE",4
"Magic Shop","BTS",6
"Make It Right","BTS",12
"Make It Right (feat. Lauv)","BTS",32
"Mikrokosmos","BTS",12
"Mmmh","KAI",66
"Moon","BTS",5
"My Time","BTS",8
"My Universe","BTS",103
"Not Today","BTS",13
"ON","BTS",17
"ON (Feat. Sia)","BTS",14
"Outro : Ego","BTS",5
"Outro: Her","BTS",1
"Outro: Tear","BTS",3
"P.O.P (Piece Of Peace) Pt. 1","j-hope",1
"Paradise","BTS",6
"Permission to Dance","BTS",51
"Pied Piper","BTS",4
"Plz Don't Be Sad","Highlight",7
"Pretty Savage","BLACKPINK",7
"Psycho","Red Velvet",14
"Respect","BTS",4
"Rollin'","Brave Girls",19
"SOLO","JENNIE",37
"SUGA's Interlude","BTS",3
"Serendipity (Full Length Edition)","BTS",1
"Skit","BTS",1
"So What","BTS",4
"So Young (feat. J-Clark)","SWAN",11
"Spring Day","BTS",12
"Stay","BTS",5
"Stay Gold","BTS",7
"Superwoman","MINZY",1
"Sweet Night","V",15
"Take Me","Miso",7
"Telepathy","BTS",7
"The Feels","TWICE",44
"The Truth Untold","BTS",7
"Trivia 承 : Love","BTS",1
"Trivia 起 : Just Dance","BTS",2
"Trivia 轉 : Seesaw","BTS",1
"UGH!","BTS",8
"WANNABE","ITZY",5
"WEE WOO","PRISTIN",6
"We are Bulletproof : the Eternal","BTS",6
"Why Not?","LOONA",7
"YES or YES","TWICE",8
"You Never Know","BLACKPINK",4
"Your Days","JOY",5
"dimple","BTS",4
"eight(Prod.&Feat. SUGA of BTS)","IU",3
"항상 (HANGSANG)","j-hope",4
